index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
56,0.496988,0.050823,0.0415762,0.414042,0.0390868,0.179474,-0.0978876,0.0718435,0.0664751,2.7353e-06,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,0.344343,0.248435,2.28722
57,0.506024,0.0552727,0.044907,0.413322,0.0405099,0.181469,-0.107945,0.0718497,0.0664781,-1.65727e-13,0.650791,0.574217,8.11016,-0.0671573,-0.0529285,1.5851e-05,0,0,0
58,0.51506,0.0597268,0.0482417,0.411856,0.0419411,0.183287,-0.117834,0.0718497,0.0664781,-1.65727e-13,3.64944,3.21943,45.4539,-0.0669073,-0.0527807,0.000247672,0,0,0
59,0.524096,0.064197,0.0515905,0.409788,0.0434538,0.184461,-0.127092,0.0718497,0.0664781,-1.65727e-13,8.27246,7.29599,102.961,-0.0660803,-0.0522918,0.00101446,0,0,0
60,0.533133,0.0687014,0.0549696,0.407345,0.0451532,0.184384,-0.135085,0.0718497,0.0664781,-1.65727e-13,13.617,12.006,169.326,-0.0643302,-0.0512571,0.00263721,0,0,0
61,0.542169,0.0732612,0.0583976,0.404791,0.0471432,0.182501,-0.141187,0.0718497,0.0664781,-1.65727e-13,18.7801,16.5514,233.241,-0.0613108,-0.0494719,0.0054369,0,0,0
62,0.551205,0.0778971,0.0618925,0.402379,0.0494941,0.178454,-0.144924,0.0718497,0.0664781,-1.65727e-13,22.8588,20.1342,283.4,-0.0566759,-0.0467316,0.0097345,0,0,0
63,0.560241,0.0826248,0.0654683,0.400306,0.0522191,0.172168,-0.146082,0.0718497,0.0664781,-1.65727e-13,24.9504,21.9566,308.495,-0.0500793,-0.0428315,0.015851,0,0,0
64,0.569277,0.0874534,0.0691327,0.398672,0.0552697,0.163848,-0.144736,0.0718497,0.0664781,-1.65727e-13,25.4492,21.9884,305.297,-0.0411943,-0.0375669,0.0240171,0,0,0
65,0.578313,0.0923865,0.0728865,0.397475,0.058561,0.153815,-0.141181,0.0718497,0.0664781,-1.65727e-13,26.8807,21.7521,290.141,-0.0298641,-0.0307328,0.0336778,0,0,0
66,0.587349,0.0974298,0.0767292,0.396657,0.0620104,0.142272,-0.135753,0.0718497,0.0664781,-1.65727e-13,28.9852,21.3942,267.943,-0.0160191,-0.0221239,0.0438735,0,0,0
67,0.596386,0.102592,0.0806591,0.39613,0.065551,0.129262,-0.128766,0.0718497,0.0664781,-1.65727e-13,31.3641,20.9851,242.88,0.000409471,-0.0115349,0.0536412,0,0,0
68,0.605422,0.107881,0.0846747,0.395795,0.0691306,0.114716,-0.12049,0.0718497,0.0664781,-1.65727e-13,33.6189,20.5949,219.13,0.0194905,0.00123928,0.0620179,0,0,0
69,0.614458,0.113308,0.0887745,0.395557,0.0727053,0.0985285,-0.111155,0.0718497,0.0664781,-1.65727e-13,35.351,20.294,200.873,0.0412927,0.016404,0.0680408,0,0,0
70,0.623494,0.118878,0.0929572,0.395344,0.0762313,0.0806577,-0.100961,0.0718497,0.0664781,-1.65727e-13,36.1618,20.1527,192.285,0.065885,0.0341644,0.0707469,0,0,0
71,0.63253,0.124595,0.0972223,0.395125,0.0796567,0.0612572,-0.0901133,0.0718497,0.0664781,-1.65727e-13,35.4556,20.1755,197.146,0.093216,0.0546072,0.0693589,0,0,0
