index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
56,0.496988,-0.106995,0.145581,0.413948,0.0201915,0.446418,-0.0749456,-0.146797,0.122422,2.40388e-06,0,0,0,-0.194457,0.121754,-2.59789e-12,0.592562,-0.00262576,2.19704
57,0.506024,-0.105309,0.148881,0.414886,0.0241599,0.449137,-0.0634173,-0.146795,0.122428,-1.42436e-11,1.25337,1.12833,7.64705,-0.194464,0.121802,2.15258e-05,0,0,0
58,0.51506,-0.103614,0.152189,0.415075,0.0281942,0.45175,-0.0517567,-0.146795,0.122428,-1.42436e-11,7.02678,6.32576,42.8707,-0.194572,0.122495,0.000336341,0,0,0
59,0.524096,-0.101888,0.155524,0.414651,0.0323638,0.454016,-0.0396736,-0.146795,0.122428,-1.42436e-11,15.9231,14.3346,97.145,-0.194927,0.12479,0.00137765,0,0,0
60,0.533133,-0.100096,0.158919,0.413828,0.0367544,0.455597,-0.0267987,-0.146795,0.122428,-1.42436e-11,26.1998,23.5861,159.835,-0.195679,0.129647,0.00358136,0,0,0
61,0.542169,-0.0981974,0.16241,0.412856,0.0414325,0.45616,-0.0128172,-0.146795,0.122428,-1.42436e-11,36.114,32.5114,220.308,-0.196977,0.138026,0.00738336,0,0,0
62,0.551205,-0.0961528,0.166032,0.411973,0.0464207,0.455465,0.00243592,-0.146795,0.122428,-1.42436e-11,43.9231,39.5417,267.927,-0.198968,0.150888,0.0132196,0,0,0
63,0.560241,-0.0939315,0.169814,0.411367,0.051687,0.453419,0.0189286,-0.146795,0.122428,-1.42436e-11,47.8845,43.1082,292.058,-0.201803,0.169193,0.0215258,0,0,0
64,0.569277,-0.0915169,0.173768,0.411135,0.0571515,0.450083,0.0364361,-0.146795,0.122428,-1.42436e-11,48.5509,42.9551,291.641,-0.205537,0.193698,0.0326155,0,0,0
65,0.578313,-0.0889033,0.177898,0.411289,0.0627093,0.445549,0.0545939,-0.146795,0.122428,-1.42436e-11,50.4098,41.7069,285.728,-0.20942,0.223368,0.0457348,0,0,0
66,0.587349,-0.0860833,0.182197,0.411807,0.0682541,0.439752,0.072959,-0.146795,0.122428,-1.42436e-11,53.1735,39.847,276.939,-0.212287,0.256251,0.0595807,0,0,0
67,0.596386,-0.0830459,0.186659,0.412654,0.0736845,0.432478,0.0910497,-0.146795,0.122428,-1.42436e-11,56.3121,37.733,266.96,-0.21297,0.290385,0.0728453,0,0,0
68,0.605422,-0.0797788,0.191275,0.41379,0.0789062,0.423455,0.108376,-0.146795,0.122428,-1.42436e-11,59.2952,35.7226,257.476,-0.2103,0.32381,0.084221,0,0,0
69,0.614458,-0.0762701,0.196037,0.415178,0.0838377,0.412436,0.124469,-0.146795,0.122428,-1.42436e-11,61.5929,34.1734,250.17,-0.20311,0.354564,0.0924002,0,0,0
70,0.623494,-0.0725107,0.200939,0.416788,0.0884173,0.399296,0.138903,-0.146795,0.122428,-1.42436e-11,62.6751,33.4431,246.729,-0.19023,0.380687,0.0960751,0,0,0
